ID, FILENAME, URI,TITLE,AUTHOR,UPLOAD_DATE,DURATION,TOPIC1,TOPIC2,TOPIC3
103,AmyGreen_2017S.stm,/talks/amy_green_a_video_game_to_cope_with_grief,A video game to cope with grief,Amy Green,2017-04-19,10M34S,art,communication,cancer
104,AmyLockwood_2011G.stm,/talks/amy_lockwood_selling_condoms_in_the_congo,Selling condoms in the Congo,Amy Lockwood,2011-09-21,4M16S,Africa,business,global issues
105,AmyPurdy_2011X.stm,/talks/amy_purdy_living_beyond_limits,Living beyond limits,Amy Purdy,2011-11-27,9M44S,TEDx,entertainment,happiness
106,AmySmith_2006.stm,/talks/amy_smith_simple_designs_to_save_a_life,Simple designs to save a life,Amy Smith,2006-08-15,15M6S,design,engineering,global issues
107,AmyTan_2008.stm,/talks/amy_tan_where_does_creativity_hide,Where does creativity hide?,Amy Tan,2008-04-22,22M52S,culture,entertainment,storytelling
108,AmyWebb_2013S.stm,/talks/amy_webb_how_i_hacked_online_dating,How I hacked online dating,Amy Webb,2013-10-02,17M27S,algorithm,culture,data
109,AnandAgarawala_2007.stm,/talks/anand_agarawala_rethink_the_desktop_with_bumptop,Rethink the desktop with BumpTop,Anand Agarawala,2007-06-05,4M39S,demo,software,technology
110,AnandaShankar_2009I.stm,/talks/ananda_shankar_jayant_fighting_cancer_with_dance,Fighting cancer with dance,Ananda Shankar Jayant,2010-06-18,16M7S,cancer,dance,music
111,AnandGiridharadas_2015.stm,/talks/anand_giridharadas_a_tale_of_two_americas_and_the_mini_mart_where_they_collided,A tale of two Americas. And the mini-mart where they collided,Anand Giridharadas,2015-03-24,19M23S,crime,history,immigration
112,AnandGiridharadas_2016T.stm,/talks/anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era,A letter to all who have lost in this era,Anand Giridharadas,2016-08-18,16M37S,collaboration,communication,community
113,AnandVarma_2015.stm,/talks/anand_varma_the_first_21_days_of_a_bee_s_life,The first 21 days of a bee's life,Anand Varma,2015-05-11,6M6S,bees,nature,photography
114,AnantAgarwal_2013G.stm,/talks/anant_agarwal_why_massive_open_online_courses_still_matter,Why massive open online courses (still) matter,Anant Agarwal,2014-01-27,15M19S,Internet,education,technology
115,AnasAremeyawAnas_2013.stm,/talks/anas_aremeyaw_anas_how_i_named_shamed_and_jailed,"How I named, shamed and jailed",Anas Aremeyaw Anas,2013-06-05,12M46S,Africa,corruption,crime
116,AnastasiaTaylorLind_2014U.stm,/talks/anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution,Fighters and mourners of the Ukrainian revolution,Anastasia Taylor-Lind,2014-12-09,6M5S,TED Fellows,photography,war
117,AndersFjellberg_2015G.stm,/talks/anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories,Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,2015-10-15,14M41S,Europe,Middle East,death
118,AndersYnnerman_2010X.stm,/talks/anders_ynnerman_visualizing_the_medical_data_explosion,Visualizing the medical data explosion,Anders Ynnerman,2011-01-20,16M36S,TEDx,data,health
119,AndrasForgacs_2013G.stm,/talks/andras_forgacs_leather_and_meat_without_killing_animals,Leather and meat without killing animals,Andras Forgacs,2013-09-19,9M2S,food,global issues,science
120,AndreaGhez_2009G.stm,/talks/andrea_ghez_the_hunt_for_a_supermassive_black_hole,The hunt for a supermassive black hole,Andrea Ghez,2009-12-02,16M26S,astronomy,dark matter,exploration
121,AndreasEkstrom_2015X.stm,/talks/andreas_ekstrom_the_moral_bias_behind_your_search_results,The moral bias behind your search results,Andreas Ekström,2015-11-10,9M18S,TEDx,algorithm,communication
122,AndreasRaptopoulos_2013G.stm,/talks/andreas_raptopoulos_no_roads_there_s_a_drone_for_that,No roads? There's a drone for that,Andreas Raptopoulos,2013-11-21,9M13S,drones,technology,transportation
123,AndreasSchleicher_2012G.stm,/talks/andreas_schleicher_use_data_to_build_better_schools,Use data to build better schools,Andreas Schleicher,2013-02-21,19M47S,data,education,global issues
124,AndresLozano_2013X.stm,/talks/andres_lozano_parkinson_s_depression_and_the_switch_that_might_turn_them_off,"Parkinson's, depression and the switch that might turn them off",Andres Lozano,2013-04-18,15M34S,TEDx,brain,depression
125,AndresRuzo_2014G.stm,/talks/andres_ruzo_the_boiling_river_of_the_amazon,The boiling river of the Amazon,Andrés Ruzo,2016-02-02,15M49S,beauty,bioethics,chemistry
126,AndrewBastawrous_2014U.stm,/talks/andrew_bastawrous_get_your_next_eye_exam_on_a_smartphone,Get your next eye exam on a smartphone,Andrew Bastawrous,2014-04-30,6M33S,TED Fellows,health,invention
127,AndrewBird_2010.stm,/talks/morgan_spurlock_the_greatest_ted_talk_ever_sold,The greatest TED Talk ever sold,Morgan Spurlock,2011-04-06,19M28S,business,consumerism,film
128,AndrewBlum_2012G.stm,/talks/andrew_blum_discover_the_physical_side_of_the_internet,Discover the physical side of the internet,Andrew Blum,2012-09-19,11M59S,Internet,business,exploration
129,AndrewConnolly_2014.stm,/talks/andrew_connolly_what_s_the_next_window_into_our_universe,What's the next window into our universe?,Andrew Connolly,2014-09-16,17M39S,astronomy,space,technology
130,AndrewFitzgerald_2013S.stm,/talks/andrew_fitzgerald_adventures_in_twitter_fiction,Adventures in Twitter fiction,Andrew Fitzgerald,2013-10-11,11M55S,culture,literature,social media
131,AndrewMcAfee_2012X.stm,/talks/andrew_mcafee_are_droids_taking_our_jobs,Are droids taking our jobs?,Andrew McAfee,2012-09-23,14M7S,TEDx,business,technology
132,AndrewMcAfee_2013.stm,/talks/andrew_mcafee_what_will_future_jobs_look_like,What will future jobs look like?,Andrew McAfee,2013-06-10,14M15S,economics,robots,work
133,AndrewMwenda_2007G.stm,/talks/andrew_mwenda_aid_for_africa_no_thanks,Aid for Africa? No thanks.,Andrew Mwenda,2007-09-04,17M7S,Africa,business,global issues
134,AndrewPelling_2016U.stm,/talks/andrew_pelling_this_scientist_makes_ears_out_of_apples,This scientist makes ears out of apples,Andrew Pelling,2016-06-15,7M5S,biotech,design,exploration
135,AndrewSolomon_2013P.stm,/talks/andrew_solomon_love_no_matter_what,"Love, no matter what",Andrew Solomon,2013-06-03,23M27S,culture,disability,family
136,AndrewSolomon_2013X.stm,/talks/andrew_solomon_depression_the_secret_we_share,"Depression, the secret we share",Andrew Solomon,2013-12-18,29M21S,TEDx,culture,depression
137,AndrewSolomon_2014.stm,/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are,How the worst moments in our lives make us who we are,Andrew Solomon,2014-05-21,20M27S,culture,depression,identity
138,AndrewYoun_2016.stm,/talks/andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty,3 reasons why we can win the fight against poverty,Andrew Youn,2016-06-13,13M14S,activism,Africa,agriculture
139,AndyHobsbawm_2008.stm,/talks/andy_hobsbawm_do_the_green_thing,Do the green thing,Andy Hobsbawm,2008-11-26,3M22S,business,climate change,design
140,AndyPuddicombe_2012S.stm,/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes,All it takes is 10 mindful minutes,Andy Puddicombe,2013-01-11,9M24S,Buddhism,body language,culture
141,AndyYen_2014G.stm,/talks/andy_yen_think_your_email_s_private_think_again,Think your email's private? Think again,Andy Yen,2015-03-05,12M9S,Internet,communication,technology
142,AngelaBelcher_2011X.stm,/talks/angela_belcher_using_nature_to_grow_batteries,Using nature to grow batteries,Angela Belcher,2011-04-27,10M25S,DNA,TEDx,biology
143,AngelaDuckworth_2013S.stm,/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,Grit: The power of passion and perseverance,Angela Lee Duckworth,2013-05-09,6M12S,business,education,psychology
144,AngelaPatton_2012X.stm,/talks/angela_patton_a_father_daughter_dance_in_prison,A father-daughter dance ... in prison,Angela Patton,2013-01-14,8M48S,TEDx,activism,dance
145,AngelicaDass_2016.stm,/talks/angelica_dass_the_beauty_of_human_skin_in_every_color,The beauty of human skin in every color,Angélica Dass,2016-03-28,11M27S,beauty,Brazil,art
146,AngeloVermeulen_2014U.stm,/talks/angelo_vermeulen_how_to_go_to_space_without_having_to_go_to_space,"How to go to space, without having to go to space",Angelo Vermeulen,2015-02-19,7M4S,TED Fellows,architecture,design
147,AnilAnanthaswamy_2010P.stm,/talks/anil_ananthaswamy_what_it_takes_to_do_extreme_astrophysics,What it takes to do extreme astrophysics,Anil Ananthaswamy,2011-04-21,14M8S,exploration,journalism,science
148,AnilGupta_2009I.stm,/talks/anil_gupta_india_s_hidden_hotbeds_of_invention,India's hidden hotbeds of invention,Anil Gupta,2010-05-06,22M55S,creativity,entrepreneur,innovation
149,AniLiu_2016X.stm,/talks/ani_liu_smelfies_and_other_experiments_in_synthetic_biology,"Smelfies, and other experiments in synthetic biology",Ani Liu,2017-02-27,7M20S,art,bacteria,beauty
150,AnjaliTripathi_2015X.stm,/talks/anjali_tripathi_why_earth_may_someday_look_like_mars,Why Earth may someday look like Mars,Anjali Tripathi,2016-12-20,11M55S,biosphere,environment,future
151,AnnaDeavereSmith_2005.stm,/talks/anna_deavere_smith_four_american_characters,Four American characters,Anna Deavere Smith,2007-02-09,23M5S,United States,culture,entertainment
